transaction_id,rule,result,bank_ref
pay_3746317213,exact_utr_in_narration,matched,BNK90001
pay_7110082321,exact_utr_in_narration,matched,BNK90002
pay_1240251661,exact_utr_in_narration,ambiguous_multiple_hits,
pay_2554762903,exact_utr_in_narration,ambiguous_multiple_hits,
pay_2748309234,exact_utr_in_narration,matched,BNK90008
pay_3363629219,exact_utr_in_narration,ambiguous_multiple_hits,
pay_6110572428,exact_utr_in_narration,matched,BNK90011
pay_3660223333,exact_utr_in_narration,matched,BNK90012
pay_5962610986,exact_utr_in_narration,ambiguous_multiple_hits,
pay_1480494664,exact_utr_in_narration,matched,BNK90015
pay_1118543408,exact_utr_in_narration,matched,BNK90016
pay_6859286614,exact_utr_in_narration,matched,BNK90017
pay_6600100279,exact_utr_in_narration,ambiguous_multiple_hits,
pay_1632880459,exact_utr_in_narration,matched,BNK90020
pay_5816198518,exact_utr_in_narration,ambiguous_multiple_hits,
pay_3691864041,exact_utr_in_narration,matched,BNK90023
pay_6928691380,exact_utr_in_narration,ambiguous_multiple_hits,
pay_3294043548,exact_utr_in_narration,matched,BNK90026
pay_6756711494,exact_utr_in_narration,ambiguous_multiple_hits,
pay_6128695961,exact_utr_in_narration,matched,BNK90030
pay_5575615203,exact_utr_in_narration,matched,BNK90031
pay_9848621776,exact_utr_in_narration,matched,BNK90032
pay_2825957977,exact_utr_in_narration,matched,BNK90033
pay_8613035386,exact_utr_in_narration,matched,BNK90035
pay_9648665968,exact_utr_in_narration,matched,BNK90036
pay_9301537234,exact_utr_in_narration,matched,BNK90037
pay_2891100776,exact_utr_in_narration,matched,BNK90038
pay_3651968205,exact_utr_in_narration,matched,BNK90039
pay_2178884276,exact_utr_in_narration,matched,BNK90041
pay_1323408297,exact_utr_in_narration,matched,BNK90042
pay_9861449701,exact_utr_in_narration,matched,BNK90043
pay_8875651818,exact_utr_in_narration,matched,BNK90044
pay_2432410914,exact_utr_in_narration,matched,BNK90045
pay_2390587865,exact_utr_in_narration,matched,BNK90046
pay_3389594115,exact_utr_in_narration,matched,BNK90047
pay_7098134112,exact_utr_in_narration,ambiguous_multiple_hits,
pay_2846465000,exact_utr_in_narration,matched,BNK90050
pay_8757570742,exact_utr_in_narration,matched,BNK90051
pay_3250402001,exact_utr_in_narration,matched,BNK90052
pay_7417183769,exact_utr_in_narration,matched,BNK90053
pay_5658832688,exact_utr_in_narration,matched,BNK90054
pay_9752058817,exact_utr_in_narration,matched,BNK90055
pay_6128260438,exact_utr_in_narration,ambiguous_multiple_hits,
pay_8086527181,exact_utr_in_narration,matched,BNK90058
pay_1205082311,exact_utr_in_narration,matched,BNK90059
pay_6804850108,exact_utr_in_narration,matched,BNK90062
pay_5800746936,exact_utr_in_narration,ambiguous_multiple_hits,
pay_4656572173,exact_utr_in_narration,matched,BNK90065
pay_3225231724,exact_utr_in_narration,matched,BNK90066
pay_3420721027,exact_utr_in_narration,matched,BNK90067
pay_7183058541,exact_utr_in_narration,matched,BNK90068
pay_2343100352,exact_utr_in_narration,matched,BNK90069
pay_7026930365,exact_utr_in_narration,ambiguous_multiple_hits,
pay_6582557981,exact_utr_in_narration,matched,BNK90072
pay_8139209752,exact_utr_in_narration,ambiguous_multiple_hits,
pay_6656646925,exact_utr_in_narration,ambiguous_multiple_hits,
pay_7460544248,exact_utr_in_narration,matched,BNK90078
pay_8601409432,exact_utr_in_narration,ambiguous_multiple_hits,
pay_2553854176,exact_utr_in_narration,matched,BNK90081
pay_5388470693,exact_utr_in_narration,matched,BNK90082
pay_2613385303,exact_utr_in_narration,matched,BNK90083
pay_5961208540,exact_utr_in_narration,matched,BNK90084
pay_9561946187,exact_utr_in_narration,matched,BNK90085
pay_3400244542,exact_utr_in_narration,ambiguous_multiple_hits,
pay_7088451458,exact_utr_in_narration,ambiguous_multiple_hits,
pay_9842186844,exact_utr_in_narration,ambiguous_multiple_hits,
pay_2766685440,exact_utr_in_narration,matched,BNK90093
pay_5714524551,exact_utr_in_narration,matched,BNK90095
pay_1112794026,exact_utr_in_narration,matched,BNK90096
pay_7161887665,exact_utr_in_narration,matched,BNK90097
pay_3986257683,exact_utr_in_narration,ambiguous_multiple_hits,
pay_6195400294,exact_utr_in_narration,matched,BNK90100
pay_6244291385,exact_utr_in_narration,matched,BNK90101
pay_7238213207,exact_utr_in_narration,matched,BNK90102
pay_2699013395,exact_utr_in_narration,ambiguous_multiple_hits,
pay_7858937483,exact_utr_in_narration,matched,BNK90105
pay_7406913885,exact_utr_in_narration,matched,BNK90106
pay_2838963536,exact_utr_in_narration,matched,BNK90107
pay_4719780110,exact_utr_in_narration,matched,BNK90108
pay_4273856102,exact_utr_in_narration,matched,BNK90109
pay_5517391943,exact_utr_in_narration,matched,BNK90110
pay_5738214525,exact_utr_in_narration,matched,BNK90111
pay_4850837385,exact_utr_in_narration,matched,BNK90112
pay_5100282913,exact_utr_in_narration,matched,BNK90113
pay_8589679668,exact_utr_in_narration,matched,BNK90114
pay_1248704157,exact_utr_in_narration,matched,BNK90115
pay_5421051452,exact_utr_in_narration,matched,BNK90116
pay_6858234447,exact_utr_in_narration,matched,BNK90117
pay_1561387824,exact_utr_in_narration,matched,BNK90119
pay_1746756255,exact_utr_in_narration,matched,BNK90120
pay_1276905285,exact_utr_in_narration,matched,BNK90121
pay_7568861677,exact_utr_in_narration,matched,BNK90123
pay_5073211715,exact_utr_in_narration,matched,BNK90124
pay_3429019820,exact_utr_in_narration,matched,BNK90125
pay_6952554500,exact_utr_in_narration,matched,BNK90126
pay_6504099682,exact_utr_in_narration,matched,BNK90127
pay_7539441086,exact_utr_in_narration,matched,BNK90128
pay_2802141793,exact_utr_in_narration,matched,BNK90129
pay_5576790020,exact_utr_in_narration,matched,BNK90131
pay_6894699853,exact_utr_in_narration,ambiguous_multiple_hits,
pay_3204526134,exact_utr_in_narration,matched,BNK90134
pay_3510353238,exact_utr_in_narration,matched,BNK90135
pay_8180620422,exact_utr_in_narration,ambiguous_multiple_hits,
pay_6717963562,exact_utr_in_narration,matched,BNK90138
pay_7139268005,exact_utr_in_narration,matched,BNK90139
pay_5491326131,exact_utr_in_narration,matched,BNK90140
pay_5823943986,exact_utr_in_narration,ambiguous_multiple_hits,
pay_6588252632,exact_utr_in_narration,ambiguous_multiple_hits,
pay_9759180824,exact_utr_in_narration,matched,BNK90145
pay_6542943838,exact_utr_in_narration,matched,BNK90146
pay_3655316364,exact_utr_in_narration,matched,BNK90147
pay_8033172680,exact_utr_in_narration,matched,BNK90148
pay_9125023089,exact_utr_in_narration,matched,BNK90149
pay_1862812038,exact_utr_in_narration,ambiguous_multiple_hits,
pay_4471642620,exact_utr_in_narration,matched,BNK90152
pay_3853978147,exact_utr_in_narration,ambiguous_multiple_hits,
pay_6558450990,exact_utr_in_narration,matched,BNK90155
pay_9899689747,exact_utr_in_narration,matched,BNK90157
pay_3159668272,exact_utr_in_narration,ambiguous_multiple_hits,
pay_3384006407,exact_utr_in_narration,matched,BNK90160
pay_4329446784,exact_utr_in_narration,matched,BNK90161
pay_6041646576,exact_utr_in_narration,matched,BNK90162
pay_1645277642,exact_utr_in_narration,matched,BNK90163
pay_3474420092,exact_utr_in_narration,matched,BNK90164
pay_7597520265,exact_utr_in_narration,ambiguous_multiple_hits,
pay_1430693397,exact_utr_in_narration,matched,BNK90167
pay_7532669066,exact_utr_in_narration,matched,BNK90168
pay_9576264323,exact_utr_in_narration,matched,BNK90169
pay_6046735986,exact_utr_in_narration,ambiguous_multiple_hits,
pay_7341757401,exact_utr_in_narration,matched,BNK90172
pay_3636366799,exact_utr_in_narration,matched,BNK90173
