record_type,id,amount,reason
bank_entry,BNK90208,2447.78,no_gateway_counterpart_or_ambiguous
bank_entry,BNK90107,22038.79,no_gateway_counterpart_or_ambiguous
bank_entry,BNK90022,29923.84,no_gateway_counterpart_or_ambiguous
bank_entry,BNK90048,21931.93,no_gateway_counterpart_or_ambiguous
bank_entry,BNK90005,11425.92,no_gateway_counterpart_or_ambiguous
bank_entry,BNK90035,21889.32,no_gateway_counterpart_or_ambiguous
bank_entry,BNK90090,39956.81,no_gateway_counterpart_or_ambiguous
bank_entry,BNK90179,17150.1,no_gateway_counterpart_or_ambiguous
bank_entry,BNK90093,32132.92,no_gateway_counterpart_or_ambiguous
bank_entry,BNK90010,16040.25,no_gateway_counterpart_or_ambiguous
bank_entry,BNK90196,6529.45,no_gateway_counterpart_or_ambiguous
bank_entry,BNK90210,4231.92,no_gateway_counterpart_or_ambiguous
bank_entry,BNK90218,1931.41,no_gateway_counterpart_or_ambiguous
bank_entry,BNK90219,4073.3,no_gateway_counterpart_or_ambiguous
bank_entry,BNK90211,1756.1,no_gateway_counterpart_or_ambiguous
bank_entry,BNK90008,24993.38,no_gateway_counterpart_or_ambiguous
bank_entry,BNK90073,11206.38,no_gateway_counterpart_or_ambiguous
bank_entry,BNK90192,5459.67,no_gateway_counterpart_or_ambiguous
bank_entry,BNK90003,6412.42,no_gateway_counterpart_or_ambiguous
bank_entry,BNK90150,38248.61,no_gateway_counterpart_or_ambiguous
bank_entry,BNK90217,1233.58,no_gateway_counterpart_or_ambiguous
bank_entry,BNK90216,2960.87,no_gateway_counterpart_or_ambiguous
bank_entry,BNK90158,34872.62,no_gateway_counterpart_or_ambiguous
bank_entry,BNK90100,24230.23,no_gateway_counterpart_or_ambiguous
bank_entry,BNK90075,13050.22,no_gateway_counterpart_or_ambiguous
bank_entry,BNK90163,21840.8,no_gateway_counterpart_or_ambiguous
bank_entry,BNK90056,21704.49,no_gateway_counterpart_or_ambiguous
bank_entry,BNK90209,582.18,no_gateway_counterpart_or_ambiguous
bank_entry,BNK90200,2619.62,no_gateway_counterpart_or_ambiguous
bank_entry,BNK90176,34720.25,no_gateway_counterpart_or_ambiguous
bank_entry,BNK90028,1451.76,no_gateway_counterpart_or_ambiguous
bank_entry,BNK90018,43753.0,no_gateway_counterpart_or_ambiguous
bank_entry,BNK90104,35388.24,no_gateway_counterpart_or_ambiguous
bank_entry,BNK90025,7288.23,no_gateway_counterpart_or_ambiguous
bank_entry,BNK90143,21694.59,no_gateway_counterpart_or_ambiguous
bank_entry,BNK90183,42645.53,no_gateway_counterpart_or_ambiguous
bank_entry,BNK90202,17622.05,no_gateway_counterpart_or_ambiguous
bank_entry,BNK90146,41030.16,no_gateway_counterpart_or_ambiguous
gateway_txn,pay_2541015125,14684.59,llm_no_confident_match
gateway_txn,pay_7402059279,30119.47,llm_no_confident_match
gateway_txn,pay_3105400301,37184.2,llm_no_confident_match
gateway_txn,pay_2136107759,4468.99,llm_no_confident_match
gateway_txn,pay_3493857758,25810.35,llm_no_confident_match
gateway_txn,pay_8132213650,9431.84,llm_no_confident_match
gateway_txn,pay_6218484323,37454.97,llm_no_confident_match
gateway_txn,pay_9733234156,41145.1,llm_no_confident_match
gateway_txn,pay_4184611760,16280.06,no_plausible_candidate
gateway_txn,pay_8604215219,9603.55,llm_no_confident_match
gateway_txn,pay_4218981849,11280.3,no_plausible_candidate
gateway_txn,pay_4275930923,38703.36,llm_no_confident_match
gateway_txn,pay_9075121701,31119.54,llm_no_confident_match
gateway_txn,pay_7054856909,35111.75,llm_no_confident_match
gateway_txn,pay_3946766309,20499.14,llm_no_confident_match
gateway_txn,pay_1383539822,3344.03,no_plausible_candidate
gateway_txn,pay_8625857078,30964.3,llm_no_confident_match
gateway_txn,pay_5694190173,2780.29,no_plausible_candidate
gateway_txn,pay_1217487269,27821.43,llm_no_confident_match
gateway_txn,pay_9711080868,9963.58,llm_no_confident_match
gateway_txn,pay_8886846400,36075.74,llm_no_confident_match
gateway_txn,pay_9447304615,44039.66,llm_no_confident_match
gateway_txn,pay_5983503547,3810.0,llm_no_confident_match
gateway_txn,pay_8600723288,33320.24,llm_no_confident_match
gateway_txn,pay_3053775623,23718.97,llm_no_confident_match
