transaction_id,bank_ref,match_type
pay_3746317213,BNK90001,exact_or_tolerant
pay_7110082321,BNK90002,exact_or_tolerant
pay_1240251661,BNK90003,duplicate_pair
pay_1240251661,BNK90004,duplicate_pair
pay_2554762903,BNK90005,duplicate_pair
pay_2554762903,BNK90006,duplicate_pair
pay_7867414708,,missing_on_bank_with_decoy
DECOY_FOR_pay_7867414708,BNK90007,decoy_no_gateway_counterpart
pay_2748309234,BNK90008,exact_or_tolerant
pay_3363629219,BNK90009,duplicate_pair
pay_3363629219,BNK90010,duplicate_pair
pay_6110572428,BNK90011,exact_or_tolerant
pay_3660223333,BNK90012,exact_or_tolerant
pay_9303285822,,missing_on_bank
pay_5962610986,BNK90013,duplicate_pair
pay_5962610986,BNK90014,duplicate_pair
pay_1480494664,BNK90015,exact_or_tolerant
pay_4218981849,,missing_on_bank
pay_1118543408,BNK90016,exact_or_tolerant
pay_6859286614,BNK90017,exact_or_tolerant
pay_6600100279,BNK90018,duplicate_pair
pay_6600100279,BNK90019,duplicate_pair
pay_1632880459,BNK90020,exact_or_tolerant
pay_5816198518,BNK90021,duplicate_pair
pay_5816198518,BNK90022,duplicate_pair
pay_3691864041,BNK90023,exact_or_tolerant
pay_6928691380,BNK90024,duplicate_pair
pay_6928691380,BNK90025,duplicate_pair
pay_3294043548,BNK90026,exact_or_tolerant
pay_3799264931,,missing_on_bank_with_decoy
DECOY_FOR_pay_3799264931,BNK90027,decoy_no_gateway_counterpart
pay_7371573279,,missing_on_bank
pay_6756711494,BNK90028,duplicate_pair
pay_6756711494,BNK90029,duplicate_pair
pay_6128695961,BNK90030,exact_or_tolerant
pay_5575615203,BNK90031,exact_or_tolerant
pay_9848621776,BNK90032,exact_or_tolerant
pay_2825957977,BNK90033,exact_or_tolerant
pay_1111088881,,missing_on_bank_with_decoy
DECOY_FOR_pay_1111088881,BNK90034,decoy_no_gateway_counterpart
pay_8613035386,BNK90035,exact_or_tolerant
pay_9648665968,BNK90036,exact_or_tolerant
pay_9301537234,BNK90037,exact_or_tolerant
pay_2891100776,BNK90038,exact_or_tolerant
pay_3651968205,BNK90039,exact_or_tolerant
pay_1730074215,,missing_on_bank_with_decoy
DECOY_FOR_pay_1730074215,BNK90040,decoy_no_gateway_counterpart
pay_2178884276,BNK90041,exact_or_tolerant
pay_9733234156,,missing_on_bank
pay_1323408297,BNK90042,exact_or_tolerant
pay_9861449701,BNK90043,exact_or_tolerant
pay_8875651818,BNK90044,exact_or_tolerant
pay_2432410914,BNK90045,exact_or_tolerant
pay_2390587865,BNK90046,exact_or_tolerant
pay_3946766309,,missing_on_bank
pay_6218484323,,missing_on_bank
pay_3389594115,BNK90047,exact_or_tolerant
pay_7098134112,BNK90048,duplicate_pair
pay_7098134112,BNK90049,duplicate_pair
pay_2846465000,BNK90050,exact_or_tolerant
pay_8757570742,BNK90051,exact_or_tolerant
pay_3250402001,BNK90052,exact_or_tolerant
pay_7417183769,BNK90053,exact_or_tolerant
pay_5658832688,BNK90054,exact_or_tolerant
pay_9752058817,BNK90055,exact_or_tolerant
pay_6128260438,BNK90056,duplicate_pair
pay_6128260438,BNK90057,duplicate_pair
pay_5983503547,,missing_on_bank
pay_8086527181,BNK90058,exact_or_tolerant
pay_1205082311,BNK90059,exact_or_tolerant
pay_9776913529,,missing_on_bank_with_decoy
DECOY_FOR_pay_9776913529,BNK90060,decoy_no_gateway_counterpart
pay_2087974350,,missing_on_bank_with_decoy
DECOY_FOR_pay_2087974350,BNK90061,decoy_no_gateway_counterpart
pay_6804850108,BNK90062,exact_or_tolerant
pay_6850392220,,missing_on_bank
pay_5800746936,BNK90063,duplicate_pair
pay_5800746936,BNK90064,duplicate_pair
pay_4656572173,BNK90065,exact_or_tolerant
pay_7552812957,,missing_on_bank
pay_3225231724,BNK90066,exact_or_tolerant
pay_3420721027,BNK90067,exact_or_tolerant
pay_7183058541,BNK90068,exact_or_tolerant
pay_2343100352,BNK90069,exact_or_tolerant
pay_7026930365,BNK90070,duplicate_pair
pay_7026930365,BNK90071,duplicate_pair
pay_6582557981,BNK90072,exact_or_tolerant
pay_8139209752,BNK90073,duplicate_pair
pay_8139209752,BNK90074,duplicate_pair
pay_6656646925,BNK90075,duplicate_pair
pay_6656646925,BNK90076,duplicate_pair
pay_5973319056,,missing_on_bank_with_decoy
DECOY_FOR_pay_5973319056,BNK90077,decoy_no_gateway_counterpart
pay_7460544248,BNK90078,exact_or_tolerant
pay_8601409432,BNK90079,duplicate_pair
pay_8601409432,BNK90080,duplicate_pair
pay_2553854176,BNK90081,exact_or_tolerant
pay_5388470693,BNK90082,exact_or_tolerant
pay_2613385303,BNK90083,exact_or_tolerant
pay_5961208540,BNK90084,exact_or_tolerant
pay_9561946187,BNK90085,exact_or_tolerant
pay_9470922075,,missing_on_bank_with_decoy
DECOY_FOR_pay_9470922075,BNK90086,decoy_no_gateway_counterpart
pay_3400244542,BNK90087,duplicate_pair
pay_3400244542,BNK90088,duplicate_pair
pay_7088451458,BNK90089,duplicate_pair
pay_7088451458,BNK90090,duplicate_pair
pay_9842186844,BNK90091,duplicate_pair
pay_9842186844,BNK90092,duplicate_pair
pay_2766685440,BNK90093,exact_or_tolerant
pay_6265016831,,missing_on_bank
pay_4947728706,,missing_on_bank_with_decoy
DECOY_FOR_pay_4947728706,BNK90094,decoy_no_gateway_counterpart
pay_5714524551,BNK90095,exact_or_tolerant
pay_1112794026,BNK90096,exact_or_tolerant
pay_7161887665,BNK90097,exact_or_tolerant
pay_3986257683,BNK90098,duplicate_pair
pay_3986257683,BNK90099,duplicate_pair
pay_6195400294,BNK90100,exact_or_tolerant
pay_6244291385,BNK90101,exact_or_tolerant
pay_7238213207,BNK90102,exact_or_tolerant
pay_2699013395,BNK90103,duplicate_pair
pay_2699013395,BNK90104,duplicate_pair
pay_7858937483,BNK90105,exact_or_tolerant
pay_7406913885,BNK90106,exact_or_tolerant
pay_2838963536,BNK90107,exact_or_tolerant
pay_4719780110,BNK90108,exact_or_tolerant
pay_9989974968,,missing_on_bank
pay_4273856102,BNK90109,exact_or_tolerant
pay_5517391943,BNK90110,exact_or_tolerant
pay_5738214525,BNK90111,exact_or_tolerant
pay_4850837385,BNK90112,exact_or_tolerant
pay_5100282913,BNK90113,exact_or_tolerant
pay_8589679668,BNK90114,exact_or_tolerant
pay_1248704157,BNK90115,exact_or_tolerant
pay_5421051452,BNK90116,exact_or_tolerant
pay_6858234447,BNK90117,exact_or_tolerant
pay_8923555411,,missing_on_bank_with_decoy
DECOY_FOR_pay_8923555411,BNK90118,decoy_no_gateway_counterpart
pay_1561387824,BNK90119,exact_or_tolerant
pay_7235936374,,missing_on_bank
pay_1746756255,BNK90120,exact_or_tolerant
pay_1276905285,BNK90121,exact_or_tolerant
pay_4794276323,,missing_on_bank_with_decoy
DECOY_FOR_pay_4794276323,BNK90122,decoy_no_gateway_counterpart
pay_7568861677,BNK90123,exact_or_tolerant
pay_5073211715,BNK90124,exact_or_tolerant
pay_3429019820,BNK90125,exact_or_tolerant
pay_6952554500,BNK90126,exact_or_tolerant
pay_6504099682,BNK90127,exact_or_tolerant
pay_7539441086,BNK90128,exact_or_tolerant
